Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Age_Disc,FamilySize,AgeGroup,Fare_EqualFreq
0,3,0.2711736617240512,1,0,0.014151057562208049,False,True,False,False,True,22.0,2,Young Adult,Low
1,1,0.4722292033174164,1,0,0.13913573538264068,True,False,True,False,False,38.0,2,Adult,Very High
1,3,0.32143754712239253,0,0,0.015468569817999833,True,False,False,False,True,26.0,1,Young Adult,Medium
1,1,0.4345312892686604,1,0,0.10364429745562033,True,False,False,False,True,35.0,2,Adult,Very High
0,3,0.4345312892686604,0,0,0.015712553569072387,False,True,False,False,True,35.0,1,Adult,Medium
0,3,0.36792055349407915,0,0,0.01650950209357577,False,True,False,True,False,29.69911764705882,1,Young Adult,Medium
0,1,0.6732847449107816,0,0,0.10122885832000206,False,True,False,False,True,54.0,1,Elderly,Very High
0,3,0.01985423473234481,3,1,0.04113566043083236,False,True,False,False,True,2.0,5,Child,High
1,3,0.33400351847197784,0,2,0.021730754366528396,True,False,False,False,True,27.0,3,Young Adult,Medium
1,2,0.17064589092736868,1,0,0.058694292654020104,True,False,True,False,False,14.0,2,Child,High
1,3,0.04498617743151546,1,1,0.03259622914329302,True,False,False,False,True,4.0,3,Child,High
1,1,0.723548630309123,0,0,0.051822148727810165,True,False,False,False,True,58.0,1,Elderly,High
0,3,0.24604171902488062,0,0,0.015712553569072387,False,True,False,False,True,20.0,1,Young Adult,Medium
0,3,0.4847951746670017,1,5,0.06104473451835265,False,True,False,False,True,39.0,7,Adult,Very High
0,3,0.17064589092736868,0,0,0.015330377421392339,True,False,False,False,True,14.0,1,Child,Low
1,2,0.685850716260367,0,0,0.03122992013728673,True,False,False,False,True,55.0,1,Elderly,High
0,3,0.01985423473234481,4,1,0.05684821399990475,False,True,False,True,False,2.0,6,Child,High
1,2,0.36792055349407915,0,0,0.025374310111545468,False,True,False,False,True,29.69911764705882,1,Young Adult,Medium
0,3,0.38426740387031916,1,0,0.03513366015444757,True,False,False,False,True,31.0,2,Adult,High
1,3,0.36792055349407915,0,0,0.014102260811993537,True,False,True,False,False,29.69911764705882,1,Young Adult,Low
0,2,0.4345312892686604,0,0,0.050748620223090936,False,True,False,False,True,35.0,1,Adult,High
1,2,0.4219653179190751,0,0,0.025374310111545468,False,True,False,False,True,34.0,1,Adult,Medium
1,3,0.18321186227695402,0,0,0.015671954672893913,True,False,False,True,False,15.0,1,Child,Medium
1,1,0.34656948982156316,0,0,0.06929138530460494,False,True,False,False,True,28.0,1,Young Adult,Very High
0,3,0.09525006282985675,3,1,0.04113566043083236,True,False,False,False,True,8.0,5,Child,High
1,3,0.4722292033174164,1,5,0.06126431989431795,True,False,False,False,True,38.0,7,Adult,Very High
0,3,0.36792055349407915,0,0,0.014102260811993537,False,True,True,False,False,29.69911764705882,1,Young Adult,Low
0,1,0.2334757476752953,3,2,0.5133418122566507,False,True,False,False,True,19.0,6,Young Adult,Very High
1,3,0.36792055349407915,0,0,0.01537917417160685,True,False,False,True,False,29.69911764705882,1,Young Adult,Low
0,3,0.36792055349407915,0,0,0.015411575213749286,False,True,False,False,True,29.69911764705882,1,Young Adult,Low
0,1,0.49736114601658704,0,0,0.05410739813385612,False,True,True,False,False,40.0,1,Adult,High
1,1,0.36792055349407915,1,0,0.2859895551532101,True,False,True,False,False,29.69911764705882,2,Young Adult,Very High
1,3,0.36792055349407915,0,0,0.015126992566498259,True,False,False,True,False,29.69911764705882,1,Young Adult,Low
0,2,0.8240764011058055,0,0,0.020494635090094415,False,True,False,False,True,66.0,1,Elderly,Medium
0,1,0.34656948982156316,1,0,0.16038672010106003,False,True,True,False,False,28.0,2,Young Adult,Very High
0,1,0.5224930887157577,1,0,0.10149724044618187,False,True,False,False,True,42.0,2,Adult,Very High
1,3,0.36792055349407915,0,0,0.014110458666029575,False,True,True,False,False,29.69911764705882,1,Young Adult,Low
0,3,0.2586076903744659,0,0,0.015712553569072387,False,True,False,False,True,21.0,1,Young Adult,Medium
0,3,0.22090977632571,2,0,0.03513366015444757,True,False,False,False,True,18.0,3,Child,High
1,3,0.17064589092736868,1,0,0.021942337075458514,True,False,True,False,False,14.0,2,Child,Medium
0,3,0.49736114601658704,1,0,0.018493968331299484,True,False,False,False,True,40.0,2,Adult,Medium
0,2,0.33400351847197784,1,0,0.04098927018018883,True,False,False,False,True,27.0,2,Young Adult,High
0,3,0.36792055349407915,0,0,0.015411575213749286,False,True,True,False,False,29.69911764705882,1,Young Adult,Low
1,2,0.032420206081930136,1,2,0.08115719346076702,True,False,True,False,False,3.0,4,Child,Very High
1,3,0.2334757476752953,0,0,0.01537917417160685,True,False,False,True,False,19.0,1,Young Adult,Low
0,3,0.36792055349407915,0,0,0.015712553569072387,False,True,False,False,True,29.69911764705882,1,Young Adult,Medium
0,3,0.36792055349407915,1,0,0.030253985132996517,False,True,False,True,False,29.69911764705882,2,Young Adult,High
1,3,0.36792055349407915,0,0,0.015126992566498259,True,False,False,True,False,29.69911764705882,1,Young Adult,Low
0,3,0.36792055349407915,2,0,0.04231498029001666,False,True,True,False,False,29.69911764705882,3,Young Adult,High
0,3,0.22090977632571,1,0,0.034743286152731485,True,False,False,False,True,18.0,2,Child,High
0,3,0.08268409148027142,4,1,0.07746484096553544,False,True,False,False,True,7.0,6,Child,Very High
0,3,0.2586076903744659,0,0,0.01522458606692728,False,True,False,False,True,21.0,1,Young Adult,Low
1,1,0.610454888162855,1,0,0.1497654242623688,True,False,True,False,False,49.0,2,Adult,Very High
1,2,0.35913546117114853,1,0,0.050748620223090936,True,False,False,False,True,29.0,2,Young Adult,High
0,1,0.8115104297562202,0,1,0.1209753416358076,False,True,True,False,False,65.0,2,Elderly,Very High
1,1,0.36792055349407915,0,0,0.06929138530460494,False,True,False,False,True,29.69911764705882,1,Young Adult,Very High
1,2,0.2586076903744659,0,0,0.020494635090094415,True,False,False,False,True,21.0,1,Young Adult,Medium
0,3,0.35285247549635584,0,0,0.014110458666029575,False,True,True,False,False,28.5,1,Young Adult,Low
1,2,0.05755214878110078,1,2,0.05416439273810667,True,False,False,False,True,5.0,4,Child,High
0,3,0.1329479768786127,5,2,0.09154270340242172,False,True,False,False,True,11.0,8,Child,Very High
0,3,0.2711736617240512,0,0,0.014110458666029575,False,True,True,False,False,22.0,1,Young Adult,Low
1,1,0.4722292033174164,0,0,0.15614960068643363,True,False,False,False,False,38.0,1,Adult,Very High
0,1,0.5601910027645137,1,0,0.16293234896625058,False,True,False,False,True,45.0,2,Adult,Very High
